uuid;commonMetaData.name;commonMetaData.description;commonMetaData.shortName;yearsFrom;yearsTo
e1957192-68e0-11ee-9d1c-d8bbc19bcc5c;35 Jahre;Alter von der Vollendung des 35. bis vor Vollendung des 36. Lebensjahres;35;35;35
e1958df8-68e0-11ee-9d1c-d8bbc19bcc5c;36 Jahre;Alter von der Vollendung des 36. bis vor Vollendung des 37. Lebensjahres;36;36;36
e195aa04-68e0-11ee-9d1c-d8bbc19bcc5c;37 Jahre;Alter von der Vollendung des 37. bis vor Vollendung des 38. Lebensjahres;37;37;37
e195c610-68e0-11ee-9d1c-d8bbc19bcc5c;38 Jahre;Alter von der Vollendung des 38. bis vor Vollendung des 39. Lebensjahres;38;38;38
e195e244-68e0-11ee-9d1c-d8bbc19bcc5c;39 Jahre;Alter von der Vollendung des 39. bis vor Vollendung des 40. Lebensjahres;39;39;39
e195fe6e-68e0-11ee-9d1c-d8bbc19bcc5c;40 Jahre;Alter von der Vollendung des 40. bis vor Vollendung des 41. Lebensjahres;40;40;40
e1962362-68e0-11ee-9d1c-d8bbc19bcc5c;41 Jahre;Alter von der Vollendung des 41. bis vor Vollendung des 42. Lebensjahres;41;41;41
e1963f96-68e0-11ee-9d1c-d8bbc19bcc5c;42 Jahre;Alter von der Vollendung des 42. bis vor Vollendung des 43. Lebensjahres;42;42;42
e1965bd4-68e0-11ee-9d1c-d8bbc19bcc5c;43 Jahre;Alter von der Vollendung des 43. bis vor Vollendung des 44. Lebensjahres;43;43;43
e19677e0-68e0-11ee-9d1c-d8bbc19bcc5c;44 Jahre;Alter von der Vollendung des 44. bis vor Vollendung des 45. Lebensjahres;44;44;44
e19693f6-68e0-11ee-9d1c-d8bbc19bcc5c;45 Jahre;Alter von der Vollendung des 45. bis vor Vollendung des 46. Lebensjahres;45;45;45
e196aff8-68e0-11ee-9d1c-d8bbc19bcc5c;46 Jahre;Alter von der Vollendung des 46. bis vor Vollendung des 47. Lebensjahres;46;46;46
e196cc86-68e0-11ee-9d1c-d8bbc19bcc5c;47 Jahre;Alter von der Vollendung des 47. bis vor Vollendung des 48. Lebensjahres;47;47;47
e196ea36-68e0-11ee-9d1c-d8bbc19bcc5c;48 Jahre;Alter von der Vollendung des 48. bis vor Vollendung des 49. Lebensjahres;48;48;48
e1970638-68e0-11ee-9d1c-d8bbc19bcc5c;49 Jahre;Alter von der Vollendung des 49. bis vor Vollendung des 50. Lebensjahres;49;49;49
e197224e-68e0-11ee-9d1c-d8bbc19bcc5c;50 Jahre;Alter von der Vollendung des 50. bis vor Vollendung des 51. Lebensjahres;50;50;50
e1973e82-68e0-11ee-9d1c-d8bbc19bcc5c;51 Jahre;Alter von der Vollendung des 51. bis vor Vollendung des 52. Lebensjahres;51;51;51
e1976204-68e0-11ee-9d1c-d8bbc19bcc5c;52 Jahre;Alter von der Vollendung des 52. bis vor Vollendung des 53. Lebensjahres;52;52;52
e1977e60-68e0-11ee-9d1c-d8bbc19bcc5c;53 Jahre;Alter von der Vollendung des 53. bis vor Vollendung des 54. Lebensjahres;53;53;53
e1979a8a-68e0-11ee-9d1c-d8bbc19bcc5c;54 Jahre;Alter von der Vollendung des 54. bis vor Vollendung des 55. Lebensjahres;54;54;54
e197b6be-68e0-11ee-9d1c-d8bbc19bcc5c;55 Jahre;Alter von der Vollendung des 55. bis vor Vollendung des 56. Lebensjahres;55;55;55
e197d2b6-68e0-11ee-9d1c-d8bbc19bcc5c;56 Jahre;Alter von der Vollendung des 56. bis vor Vollendung des 57. Lebensjahres;56;56;56
e197ef26-68e0-11ee-9d1c-d8bbc19bcc5c;57 Jahre;Alter von der Vollendung des 57. bis vor Vollendung des 58. Lebensjahres;57;57;57
e1980b64-68e0-11ee-9d1c-d8bbc19bcc5c;58 Jahre;Alter von der Vollendung des 58. bis vor Vollendung des 59. Lebensjahres;58;58;58
e19827ac-68e0-11ee-9d1c-d8bbc19bcc5c;59 Jahre;Alter von der Vollendung des 59. bis vor Vollendung des 60. Lebensjahres;59;59;59
e19843f4-68e0-11ee-9d1c-d8bbc19bcc5c;60 Jahre;Alter von der Vollendung des 60. bis vor Vollendung des 61. Lebensjahres;60;60;60
e1986032-68e0-11ee-9d1c-d8bbc19bcc5c;61 Jahre;Alter von der Vollendung des 61. bis vor Vollendung des 62. Lebensjahres;61;61;61
e1987c3e-68e0-11ee-9d1c-d8bbc19bcc5c;62 Jahre;Alter von der Vollendung des 62. bis vor Vollendung des 63. Lebensjahres;62;62;62
e19898a4-68e0-11ee-9d1c-d8bbc19bcc5c;63 Jahre;Alter von der Vollendung des 63. bis vor Vollendung des 64. Lebensjahres;63;63;63
e198b4ce-68e0-11ee-9d1c-d8bbc19bcc5c;64 Jahre;Alter von der Vollendung des 64. bis vor Vollendung des 65. Lebensjahres;64;64;64
e198d0ee-68e0-11ee-9d1c-d8bbc19bcc5c;65 Jahre;Alter von der Vollendung des 65. bis vor Vollendung des 66. Lebensjahres;65;65;65
e198ed2c-68e0-11ee-9d1c-d8bbc19bcc5c;66 Jahre;Alter von der Vollendung des 66. bis vor Vollendung des 67. Lebensjahres;66;66;66
e1990956-68e0-11ee-9d1c-d8bbc19bcc5c;67 Jahre;Alter von der Vollendung des 67. bis vor Vollendung des 68. Lebensjahres;67;67;67
e1992576-68e0-11ee-9d1c-d8bbc19bcc5c;68 Jahre;Alter von der Vollendung des 68. bis vor Vollendung des 69. Lebensjahres;68;68;68
e19941be-68e0-11ee-9d1c-d8bbc19bcc5c;69 Jahre;Alter von der Vollendung des 69. bis vor Vollendung des 70. Lebensjahres;69;69;69
e1995e2e-68e0-11ee-9d1c-d8bbc19bcc5c;70 Jahre;Alter von der Vollendung des 70. bis vor Vollendung des 71. Lebensjahres;70;70;70
e1997a58-68e0-11ee-9d1c-d8bbc19bcc5c;71 Jahre;Alter von der Vollendung des 71. bis vor Vollendung des 72. Lebensjahres;71;71;71
e1999678-68e0-11ee-9d1c-d8bbc19bcc5c;72 Jahre;Alter von der Vollendung des 72. bis vor Vollendung des 73. Lebensjahres;72;72;72
e199b28e-68e0-11ee-9d1c-d8bbc19bcc5c;73 Jahre;Alter von der Vollendung des 73. bis vor Vollendung des 74. Lebensjahres;73;73;73
e199d7f0-68e0-11ee-9d1c-d8bbc19bcc5c;74 Jahre;Alter von der Vollendung des 74. bis vor Vollendung des 75. Lebensjahres;74;74;74
e199f46a-68e0-11ee-9d1c-d8bbc19bcc5c;75 Jahre;Alter von der Vollendung des 75. bis vor Vollendung des 76. Lebensjahres;75;75;75
e19a1094-68e0-11ee-9d1c-d8bbc19bcc5c;76 Jahre;Alter von der Vollendung des 76. bis vor Vollendung des 77. Lebensjahres;76;76;76
e19a2caa-68e0-11ee-9d1c-d8bbc19bcc5c;77 Jahre;Alter von der Vollendung des 77. bis vor Vollendung des 78. Lebensjahres;77;77;77
e19a48fc-68e0-11ee-9d1c-d8bbc19bcc5c;78 Jahre;Alter von der Vollendung des 78. bis vor Vollendung des 79. Lebensjahres;78;78;78
e19a659e-68e0-11ee-9d1c-d8bbc19bcc5c;79 Jahre;Alter von der Vollendung des 79. bis vor Vollendung des 80. Lebensjahres;79;79;79
e19a81fa-68e0-11ee-9d1c-d8bbc19bcc5c;80 Jahre;Alter von der Vollendung des 80. bis vor Vollendung des 81. Lebensjahres;80;80;80
e19a9e42-68e0-11ee-9d1c-d8bbc19bcc5c;81 Jahre;Alter von der Vollendung des 81. bis vor Vollendung des 82. Lebensjahres;81;81;81
e19aba9e-68e0-11ee-9d1c-d8bbc19bcc5c;82 Jahre;Alter von der Vollendung des 82. bis vor Vollendung des 83. Lebensjahres;82;82;82
e19ad6b4-68e0-11ee-9d1c-d8bbc19bcc5c;83 Jahre;Alter von der Vollendung des 83. bis vor Vollendung des 84. Lebensjahres;83;83;83
e19af2ca-68e0-11ee-9d1c-d8bbc19bcc5c;84 Jahre;Alter von der Vollendung des 84. bis vor Vollendung des 85. Lebensjahres;84;84;84
e19b0f1c-68e0-11ee-9d1c-d8bbc19bcc5c;85 Jahre;Alter von der Vollendung des 85. bis vor Vollendung des 86. Lebensjahres;85;85;85
e19b31f4-68e0-11ee-9d1c-d8bbc19bcc5c;86 Jahre;Alter von der Vollendung des 86. bis vor Vollendung des 87. Lebensjahres;86;86;86
e19b4f68-68e0-11ee-9d1c-d8bbc19bcc5c;87 Jahre;Alter von der Vollendung des 87. bis vor Vollendung des 88. Lebensjahres;87;87;87
e19b6b6a-68e0-11ee-9d1c-d8bbc19bcc5c;88 Jahre;Alter von der Vollendung des 88. bis vor Vollendung des 89. Lebensjahres;88;88;88
e19b880c-68e0-11ee-9d1c-d8bbc19bcc5c;89 Jahre;Alter von der Vollendung des 89. bis vor Vollendung des 90. Lebensjahres;89;89;89
e19ba60c-68e0-11ee-9d1c-d8bbc19bcc5c;90 Jahre;Alter von der Vollendung des 90. bis vor Vollendung des 91. Lebensjahres;90;90;90
e19bc1f0-68e0-11ee-9d1c-d8bbc19bcc5c;91 Jahre;Alter von der Vollendung des 91. bis vor Vollendung des 92. Lebensjahres;91;91;91
e19bdde8-68e0-11ee-9d1c-d8bbc19bcc5c;92 Jahre;Alter von der Vollendung des 92. bis vor Vollendung des 93. Lebensjahres;92;92;92
e19bf9f4-68e0-11ee-9d1c-d8bbc19bcc5c;93 Jahre;Alter von der Vollendung des 93. bis vor Vollendung des 94. Lebensjahres;93;93;93
e19c1646-68e0-11ee-9d1c-d8bbc19bcc5c;94 Jahre;Alter von der Vollendung des 94. bis vor Vollendung des 95. Lebensjahres;94;94;94
e19c3252-68e0-11ee-9d1c-d8bbc19bcc5c;95 Jahre;Alter von der Vollendung des 95. bis vor Vollendung des 96. Lebensjahres;95;95;95
e19c4f30-68e0-11ee-9d1c-d8bbc19bcc5c;96 Jahre;Alter von der Vollendung des 96. bis vor Vollendung des 97. Lebensjahres;96;96;96
e19c6b82-68e0-11ee-9d1c-d8bbc19bcc5c;97 Jahre;Alter von der Vollendung des 97. bis vor Vollendung des 98. Lebensjahres;97;97;97
e19c87ac-68e0-11ee-9d1c-d8bbc19bcc5c;98 Jahre;Alter von der Vollendung des 98. bis vor Vollendung des 99. Lebensjahres;98;98;98
e19ca3a4-68e0-11ee-9d1c-d8bbc19bcc5c;99 Jahre;Alter von der Vollendung des 99. bis vor Vollendung des 100. Lebensjahres;99;99;99
e19cbfa6-68e0-11ee-9d1c-d8bbc19bcc5c;100 Jahre;Alter von der Vollendung des 100. bis vor Vollendung des 101. Lebensjahres;100;100;100
e19ce12a-68e0-11ee-9d1c-d8bbc19bcc5c;101 Jahre;Alter von der Vollendung des 101. bis vor Vollendung des 102. Lebensjahres;101;101;101
