uuid;commonMetaData.name;commonMetaData.description;commonMetaData.shortName;yearsFrom;yearsTo
e1a64d50-68e0-11ee-9d1c-d8bbc19bcc5c;0 - 5 Jahre;Alter bis vor Vollendung des 6. Lebensjahres;0-5;0;5
e1a6695c-68e0-11ee-9d1c-d8bbc19bcc5c;6 - 9 Jahre;Alter von der Vollendung des 6. bis vor Vollendung des 10. Lebensjahres;6-9;6;9
e1a685ae-68e0-11ee-9d1c-d8bbc19bcc5c;10 - 17 Jahre;Alter von der Vollendung des 10. bis vor Vollendung des 18. Lebensjahres;10-17;10;17
e1a6a278-68e0-11ee-9d1c-d8bbc19bcc5c;18 - 26 Jahre;Alter von der Vollendung des 18. bis vor Vollendung des 27. Lebensjahres;18-26;18;26
e1a6bede-68e0-11ee-9d1c-d8bbc19bcc5c;27 - 44 Jahre;Alter von der Vollendung des 27. bis vor Vollendung des 45. Lebensjahres;27-44;27;44
e1a6dafe-68e0-11ee-9d1c-d8bbc19bcc5c;45 - 63 Jahre;Alter von der Vollendung des 45. bis vor Vollendung des 64. Lebensjahres;45-63;45;63
e1a6f6ec-68e0-11ee-9d1c-d8bbc19bcc5c;64 - 79 Jahre;Alter von der Vollendung des 64. bis vor Vollendung des 80. Lebensjahres;64-79;64;79
e1a712f8-68e0-11ee-9d1c-d8bbc19bcc5c;ab 80 Jahre;Alter ab Vollendung des 80. Lebensjahres;>=80;80;135
